"meta:instanceID","Identificacao:Data","Identificacao:localGps:Latitude","Identificacao:localGps:Longitude","Identificacao:localGps:Altitude","Identificacao:localGps:Accuracy","Identificacao:Localizacao","Identificacao:Genero","Identificacao:ondemora","Identificacao:Idade","teste1","teste2","comunidade1","comunidade2","comunidade3","comunidade4","comunidade5","casa1","casa2","casa3","casa4","casa5","escola1","escola2","escola3","escola4","escola5","espacos1","espacos2","espacos3","espacos4","espacos5","pessoas1","pessoas2","pessoas3","pessoas4","pessoas5","eu1","eu2","eu3","eu4","eu5","FavelaNews1","FavelaNews2","FavelaNews3","FavelaNews4","FavelaNews5"
"uuid:23fe2229-9e26-444f-bbf8-16e8d462e73e","Mon Jun 09 00:00:00 UTC 2014","-8.0304477651","-34.9382202310","6.7296387404","10.0000000000","null","M","null","11","0","2","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","2","0","0","0"
"uuid:a19440b6-d385-47dd-9ebb-3c354ed7c659","Mon Jun 09 00:00:00 UTC 2014","-8.0301422719","-34.9375333730","20.5000000000","10.0000000000","null","M","Iputinga","11","0","1","2","0","0","2","2","0","0","1","0","2","0","0","0","0","0","0","1","0","2","0","2","0","2","0","0","1","1","0","0","1","0","2","0","0","0"
"uuid:5132a95f-8f34-461e-ab81-58c936365f88","Mon Jun 09 00:00:00 UTC 2014","-8.0296761543","-34.9380175117","-13.5000000000","15.0000000000","null","F","Detran","10","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","2","0","2","2","0","0","0","0","0","0","0","0","0","1","0"
"uuid:d1820d7a-2956-4aaf-b36d-e68fa711f3f3","Mon Jun 09 00:00:00 UTC 2014","null","null","null","null","Rua sao pedro","F","Detran","8","1","1","0","0","2","1","1","0","0","1","0","1","0","0","0","0","1","2","2","1","2","2","2","0","2","0","0","1","2","1","0","0","1","1","1","2","1"
"uuid:3b95e931-a943-4b0b-8ef9-f18813eee70b","Mon Jun 09 00:00:00 UTC 2014","null","null","null","null","Rua sandolandia","M","Detran","8","0","1","0","0","0","1","1","0","0","2","0","2","0","0","0","0","1","1","2","2","1","1","1","0","2","1","0","0","2","0","0","0","1","0","1","1","0"
"uuid:91334ea4-aa03-426c-855c-06ed39aa02e3","Mon Jun 09 00:00:00 UTC 2014","-8.0300193932","-34.9375958182","24.6000000000","15.0000000000","null","M","Iputinga","12","0","0","0","0","1","2","1","0","0","2","1","0","0","2","0","1","1","0","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","2","0","2","0"
"uuid:a1e62d05-49f2-43a2-8e9a-9f97cbfba520","Mon Jun 09 00:00:00 UTC 2014","-8.0285751913","-34.9375509750","8.0000000000","10.0000000000","null","M","Detran","10","0","1","0","2","0","2","2","0","0","0","0","0","2","0","0","1","0","2","1","0","2","0","2","0","0","0","0","0","2","0","0","66","0","1","66","0","0"
"uuid:ee784b16-ab37-424b-a7bb-cdbb342ee33c","Mon Jun 09 00:00:00 UTC 2014","-8.0308440000","-34.9416906000","0E-10","1416.0000000000","null","M","Detran","12","0","2","0","1","0","1","0","0","0","2","0","0","0","0","0","1","0","2","0","0","2","0","2","0","2","2","0","2","0","0","0","0","2","2","2","0","0"
"uuid:630d3a6c-f704-4545-b2f1-1e2e34c27d72","Mon Jun 09 00:00:00 UTC 2014","null","null","null","null","Rua sucupira","M","Detran","10","0","1","0","2","0","1","2","0","0","2","1","2","0","1","2","0","1","0","0","1","1","1","1","0","0","0","0","2","2","1","0","0","2","1","0","0","0"
"uuid:ff10f115-07cc-469f-8db1-ffdd988ca1f1","Mon Jun 09 00:00:00 UTC 2014","-8.0297209974","-34.9377654679","8.8000000000","20.0000000000","null","F","Iputinga","8","0","0","0","1","1","2","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","2","0","0","0","2","99","99","2","0"
